customerkey;geographykey;firstname;lastname;Full_Name;yearlyincome;Gender;datefirstpurchase;city;EnglishCountryRegionName
15433;311;Adam;Sharma;Adam Sharma;60000,00;Male;2019-06-05;Concord;United States
15434;38;Brent;Zhou;Brent Zhou;20000,00;Male;2020-05-01;South Melbourne;Australia
15435;40;Geoffrey;Raman;Geoffrey Raman;30000,00;Male;2019-11-07;Warrnambool;Australia
15436;5;Patricia;Suri;Patricia Suri;30000,00;Female;2019-11-01;Lane Cove;Australia
15437;11;Candace;Srini;Candace Srini;20000,00;Female;2020-11-13;North Ryde;Australia
15438;17;Arthur;Rodriguez;Arthur Rodriguez;30000,00;Male;2019-11-08;St. Leonards;Australia
15439;21;Mason;Evans;Mason Evans;10000,00;Male;2019-11-02;Caloundra;Australia
15440;230;Jon;Pal;Jon Pal;10000,00;Male;2018-10-01;Berkshire;United Kingdom
15441;240;Christy;Zeng;Christy Zeng;10000,00;Female;2020-04-03;High Wycombe;United Kingdom
15442;188;Alejandro;Shen;Alejandro Shen;10000,00;Male;2020-07-03;Roncq;France
15443;123;Francisco;Patel;Francisco Patel;10000,00;Male;2020-02-05;Berlin;Germany
15444;278;Roy;Fernandez;Roy Fernandez;20000,00;Male;2020-04-26;York;United Kingdom
15445;225;Bob;Lopez;Bob Lopez;20000,00;Male;2020-06-27;Orly;France
15446;215;Levi;Madan;Levi Madan;20000,00;Male;2020-05-15;Colombes;France
15447;222;Regina;Madan;Regina Madan;20000,00;Female;2020-05-27;Pantin;France
15448;264;Omar;She;Omar She;20000,00;Male;2020-09-07;Oxon;United Kingdom
15449;277;Cedric;Yuan;Cedric Yuan;30000,00;Male;2020-06-04;York;United Kingdom
15450;184;Marshall;Black;Marshall Black;10000,00;Male;2020-03-01;Metz;France
15451;211;Linda;Munoz;Linda Munoz;30000,00;Female;2019-07-09;Les Ulis;France
15452;206;Alison;Goel;Alison Goel;10000,00;Female;2020-03-20;Roissy en Brie;France
15453;261;Isabelle;Barnes;Isabelle Barnes;20000,00;Female;2018-10-05;Newcastle upon Tyne;United Kingdom
15454;162;Ian;Bennett;Ian Bennett;20000,00;Male;2019-01-28;Werne;Germany
15455;189;Denise;Raman;Denise Raman;10000,00;Female;2019-07-08;Roubaix;France
15456;175;Donald;Suri;Donald Suri;20000,00;Male;2019-01-20;Saarlouis;Germany
15457;171;Adriana;Martinez;Adriana Martinez;20000,00;Female;2018-12-31;Neunkirchen;Germany
15458;120;Krystal;Ma;Krystal Ma;20000,00;Female;2020-08-15;Hof;Germany
15459;149;Beth;Dominguez;Beth Dominguez;20000,00;Female;2020-06-29;Mühlheim;Germany
15460;173;Bethany;Nara;Bethany Nara;20000,00;Female;2018-12-29;Poing;Germany
15461;238;Alberto;Gutierrez;Alberto Gutierrez;30000,00;Male;2020-02-13;Gateshead;United Kingdom
15462;215;Tony;Chande;Tony Chande;10000,00;Male;2019-07-17;Colombes;France
15463;216;Terrence;Yuan;Terrence Yuan;10000,00;Male;2019-07-25;Courbevoie;France
15464;22;Kristi;Blanco;Kristi Blanco;10000,00;Female;2020-09-06;East Brisbane;Australia
15465;34;Jacquelyn;Navarro;Jacquelyn Navarro;10000,00;Female;2020-03-02;Geelong;Australia
15466;358;Elijah;Perez;Elijah Perez;50000,00;Male;2019-06-02;San Carlos;United States
15467;301;Caleb;Shan;Caleb Shan;50000,00;Male;2019-06-22;Burbank;United States
15468;65;Emma;Foster;Emma Foster;50000,00;Female;2020-02-22;Shawnee;Canada
15469;368;Fernando;Williams;Fernando Williams;60000,00;Male;2020-02-09;Santa Cruz;United States
15470;335;Hailey;Lopez;Hailey Lopez;60000,00;Female;2020-08-15;Lemon Grove;United States
15471;352;Destiny;White;Destiny White;50000,00;Female;2019-06-03;Palo Alto;United States
15472;627;Jennifer;Torres;Jennifer Torres;50000,00;Female;2019-05-31;Marysville;United States
15473;312;Abigail;Jenkins;Abigail Jenkins;50000,00;Female;2019-05-30;Coronado;United States
15474;300;Cameron;Lal;Cameron Lal;50000,00;Male;2019-06-20;Beverly Hills;United States
15475;385;Kaitlyn;Brooks;Kaitlyn Brooks;50000,00;Female;2019-06-20;Woodland Hills;United States
15476;337;Alyssa;Powell;Alyssa Powell;60000,00;Female;2020-01-31;Long Beach;United States
15477;310;Jose;Adams;Jose Adams;60000,00;Male;2020-12-14;Colma;United States
15478;53;Melanie;Russell;Melanie Russell;60000,00;Female;2020-01-30;Metchosin;Canada
15479;631;Andrea;Wright;Andrea Wright;60000,00;Female;2020-11-20;Olympia;United States
15480;301;Denise;Lopez;Denise Lopez;70000,00;Female;2019-07-15;Burbank;United States
15481;302;Jamie;Zhang;Jamie Zhang;70000,00;Female;2019-07-14;Burlingame;United States
15482;307;Audrey;Rubio;Audrey Rubio;70000,00;Female;2019-07-11;Chula Vista;United States
15483;361;Katherine;Robinson;Katherine Robinson;70000,00;Female;2019-07-09;San Gabriel;United States
15484;383;Samuel;Henderson;Samuel Henderson;80000,00;Male;2019-07-22;West Covina;United States
15485;329;Jordan;Wright;Jordan Wright;60000,00;Female;2020-03-12;Imperial Beach;United States
15486;553;Kevin;Griffin;Kevin Griffin;60000,00;Male;2020-06-21;Woodburn;United States
15487;372;Jesse;Ramirez;Jesse Ramirez;60000,00;Male;2020-03-07;Spring Valley;United States
15488;43;Evan;Richardson;Evan Richardson;60000,00;Male;2020-06-10;Burnaby;Canada
15489;644;Emily;Thompson;Emily Thompson;60000,00;Female;2019-07-06;Walla Walla;United States
15490;60;Kaitlyn;Rivera;Kaitlyn Rivera;70000,00;Female;2020-07-04;Port Hammond;Canada
15491;403;Shannon;Li;Shannon Li;70000,00;Female;2019-06-30;Clearwater;United States
15492;623;Grace;Long;Grace Long;70000,00;Female;2019-07-06;Kirkland;United States
15493;543;Eric;Chen;Eric Chen;70000,00;Male;2019-06-30;Lebanon;United States
15494;69;Anna;Ross;Anna Ross;70000,00;Female;2020-02-26;Victoria;Canada
15495;307;Craig;Alonso;Craig Alonso;40000,00;Male;2020-12-29;Chula Vista;United States
15496;310;Kelli;Goel;Kelli Goel;40000,00;Female;2020-03-05;Colma;United States
15497;347;Katelyn;Phillips;Katelyn Phillips;40000,00;Female;2019-07-02;Novato;United States
15498;64;Alexandra;Washington;Alexandra Washington;60000,00;Female;2020-02-20;Shawnee;Canada
15499;638;Robert;Thomas;Robert Thomas;70000,00;Male;2019-07-09;Sedro Woolley;United States
15500;302;Keith;Raji;Keith Raji;70000,00;Male;2019-07-22;Burlingame;United States
15501;310;Justin;Simmons;Justin Simmons;70000,00;Male;2019-07-29;Colma;United States
15502;539;Nathaniel;Howard;Nathaniel Howard;40000,00;Male;2019-07-15;Corvallis;United States
15503;638;Caitlin;James;Caitlin James;50000,00;Female;2019-07-07;Sedro Woolley;United States
15504;618;Jared;James;Jared James;50000,00;Male;2020-05-19;Issaquah;United States
15505;552;Gabriella;Bailey;Gabriella Bailey;50000,00;Female;2020-06-23;W. Linn;United States
15506;302;Evan;Sanders;Evan Sanders;60000,00;Male;2019-07-23;Burlingame;United States
15507;70;Hailey;Campbell;Hailey Campbell;60000,00;Female;2020-01-28;Westminster;Canada
15508;626;Megan;Brooks;Megan Brooks;60000,00;Female;2020-07-23;Lynnwood;United States
15509;648;Zachary;Washington;Zachary Washington;60000,00;Male;2020-03-15;Yakima;United States
15510;536;Ernest;She;Ernest She;70000,00;Male;2020-08-22;Beaverton;United States
15511;66;Haley;Kelly;Haley Kelly;60000,00;Female;2020-04-15;Sooke;Canada
15512;607;Jose;Hayes;Jose Hayes;70000,00;Male;2020-10-23;Ballard;United States
15513;635;Madeline;Perez;Madeline Perez;70000,00;Female;2020-08-16;Renton;United States
15514;644;Angela;Ramirez;Angela Ramirez;70000,00;Female;2020-05-27;Walla Walla;United States
15515;648;Carlos;Wright;Carlos Wright;70000,00;Male;2020-11-30;Yakima;United States
15516;307;Shaun;Raje;Shaun Raje;70000,00;Male;2020-07-03;Chula Vista;United States
15517;369;Thomas;Edwards;Thomas Edwards;80000,00;Male;2019-07-01;Santa Monica;United States
15518;374;Richard;Bryant;Richard Bryant;80000,00;Male;2019-07-16;Torrance;United States
15519;536;Jennifer;Evans;Jennifer Evans;10000,00;Female;2020-04-27;Beaverton;United States
15520;312;Desiree;Navarro;Desiree Navarro;40000,00;Female;2019-07-07;Coronado;United States
15521;298;Kathryn;Deng;Kathryn Deng;80000,00;Female;2019-08-03;Bellflower;United States
15522;547;Ethan;Russell;Ethan Russell;60000,00;Male;2020-08-17;Portland;United States
15523;627;Jonathan;Yang;Jonathan Yang;40000,00;Male;2019-08-07;Marysville;United States
15524;542;Dalton;Stone;Dalton Stone;50000,00;Male;2020-05-21;Lake Oswego;United States
15525;301;Marie;Gonzalez;Marie Gonzalez;50000,00;Female;2019-08-01;Burbank;United States
15526;70;Isabelle;Flores;Isabelle Flores;50000,00;Female;2020-02-20;Westminster;Canada
15527;329;Megan;Rivera;Megan Rivera;50000,00;Female;2019-08-13;Imperial Beach;United States
15528;545;Lucas;Ramirez;Lucas Ramirez;60000,00;Male;2019-08-19;Milwaukie;United States
15529;626;Jason;Allen;Jason Allen;60000,00;Male;2019-08-05;Lynnwood;United States
15530;66;Madison;Johnson;Madison Johnson;60000,00;Female;2020-12-16;Sooke;Canada
15531;610;Calvin;Raji;Calvin Raji;60000,00;Male;2019-08-05;Bothell;United States
15532;307;Marshall;Jai;Marshall Jai;60000,00;Male;2019-08-27;Chula Vista;United States
15533;360;Anna;Richardson;Anna Richardson;70000,00;Female;2020-08-19;San Francisco;United States
15534;547;Steven;Bell;Steven Bell;70000,00;Male;2019-08-05;Portland;United States
15535;302;Jordan;Scott;Jordan Scott;70000,00;Male;2019-08-23;Burlingame;United States
15536;52;Victoria;Thomas;Victoria Thomas;60000,00;Female;2020-07-25;Langley;Canada
15537;325;Destiny;Peterson;Destiny Peterson;60000,00;Female;2019-08-05;Glendale;United States
15538;326;Luis;Lal;Luis Lal;60000,00;Male;2019-08-25;Grossmont;United States
15539;299;Raul;Goel;Raul Goel;70000,00;Male;2020-10-13;Berkeley;United States
15540;302;Randall;Ortega;Randall Ortega;70000,00;Male;2019-08-23;Burlingame;United States
15541;352;Zoe;Morris;Zoe Morris;70000,00;Female;2020-08-22;Palo Alto;United States
15542;301;Andrea;Baker;Andrea Baker;70000,00;Female;2019-08-20;Burbank;United States
15543;59;Emma;Flores;Emma Flores;70000,00;Female;2020-04-15;Oak Bay;Canada
15544;325;Thomas;Brown;Thomas Brown;70000,00;Male;2020-04-28;Glendale;United States
15545;307;Jennifer;Rivera;Jennifer Rivera;40000,00;Female;2020-07-16;Chula Vista;United States
15546;552;Robert;Jenkins;Robert Jenkins;40000,00;Male;2020-12-18;W. Linn;United States
15547;314;Cassidy;Wood;Cassidy Wood;60000,00;Female;2019-08-17;Daly City;United States
15548;385;Morgan;Brooks;Morgan Brooks;40000,00;Female;2019-08-25;Woodland Hills;United States
15549;49;Richard;Davis;Richard Davis;50000,00;Male;2020-01-11;Cliffside;Canada
15550;611;Orlando;Alonso;Orlando Alonso;50000,00;Male;2020-11-29;Bremerton;United States
15551;612;Kaylee;Gray;Kaylee Gray;50000,00;Female;2019-08-22;Burien;United States
15552;631;Tyler;Lewis;Tyler Lewis;50000,00;Male;2019-08-19;Olympia;United States
15553;301;Ivan;Lopez;Ivan Lopez;60000,00;Male;2019-08-20;Burbank;United States
15554;311;Zoe;Bailey;Zoe Bailey;60000,00;Female;2019-09-03;Concord;United States
15555;352;Hailey;Barnes;Hailey Barnes;60000,00;Female;2019-09-16;Palo Alto;United States
15556;65;Dylan;Davis;Dylan Davis;60000,00;Male;2020-03-03;Shawnee;Canada
15557;348;Nathaniel;Murphy;Nathaniel Murphy;60000,00;Male;2019-09-05;Oakland;United States
15558;633;Hailey;Morris;Hailey Morris;60000,00;Female;2019-09-01;Puyallup;United States
15559;49;Devin;Flores;Devin Flores;60000,00;Male;2020-02-12;Cliffside;Canada
15560;611;Gabrielle;Gray;Gabrielle Gray;60000,00;Female;2020-05-11;Bremerton;United States
15561;543;Angel;Young;Angel Young;60000,00;Male;2019-09-01;Lebanon;United States
15562;611;Kaitlyn;James;Kaitlyn James;60000,00;Female;2019-09-25;Bremerton;United States
15563;618;Luke;Lopez;Luke Lopez;60000,00;Male;2020-10-05;Issaquah;United States
15564;66;Eduardo;Hughes;Eduardo Hughes;60000,00;Male;2020-05-28;Sooke;Canada
15565;616;Kyle;Mitchell;Kyle Mitchell;70000,00;Male;2019-08-29;Everett;United States
15566;57;Aaron;Foster;Aaron Foster;70000,00;Male;2020-07-07;Newton;Canada
15567;49;Carmen;Madan;Carmen Madan;80000,00;Female;2020-07-22;Cliffside;Canada
15568;325;Aaron;Hayes;Aaron Hayes;80000,00;Male;2019-09-25;Glendale;United States
15569;536;Morgan;Ward;Morgan Ward;80000,00;Female;2019-09-16;Beaverton;United States
15570;372;Brianna;Powell;Brianna Powell;60000,00;Female;2019-09-22;Spring Valley;United States
15571;65;Angel;Allen;Angel Allen;60000,00;Male;2020-01-28;Shawnee;Canada
15572;54;Anna;Garcia;Anna Garcia;60000,00;Female;2020-07-03;N. Vancouver;Canada
15573;634;Thomas;Wilson;Thomas Wilson;70000,00;Male;2020-10-05;Redmond;United States
15574;383;Carlos;Peterson;Carlos Peterson;70000,00;Male;2021-01-07;West Covina;United States
15575;23;Alvin;Ye;Alvin Ye;60000,00;Male;2019-10-29;Gold Coast;Australia
15576;9;Carly;Raje;Carly Raje;80000,00;Female;2019-11-23;Milsons Point;Australia
15577;10;Mayra;Malhotra;Mayra Malhotra;80000,00;Female;2020-04-04;Newcastle;Australia
15578;35;Diane;Gill;Diane Gill;80000,00;Female;2019-11-10;Melbourne;Australia
15579;31;Brittany;Coleman;Brittany Coleman;60000,00;Female;2020-02-09;Hobart;Australia
15580;33;Ruben;Raman;Ruben Raman;60000,00;Male;2019-10-28;Cranbourne;Australia
15581;36;Toni;Perez;Toni Perez;60000,00;Female;2020-08-09;Melton;Australia
15582;34;Jeffery;Cai;Jeffery Cai;60000,00;Male;2019-11-27;Geelong;Australia
15583;14;Lindsey;Xu;Lindsey Xu;70000,00;Female;2020-06-02;Rhodes;Australia
15584;13;Christy;Raji;Christy Raji;70000,00;Female;2020-03-26;Port Macquarie;Australia
15585;19;Roy;Garcia;Roy Garcia;70000,00;Male;2019-11-21;Wollongong;Australia
15586;21;Victor;Blanco;Victor Blanco;110000,00;Male;2019-11-26;Caloundra;Australia
15587;33;Jessica;Ward;Jessica Ward;110000,00;Female;2019-11-18;Cranbourne;Australia
15588;4;Kristy;Alvarez;Kristy Alvarez;110000,00;Female;2019-11-02;Goulburn;Australia
15589;24;Gilbert;He;Gilbert He;110000,00;Male;2019-11-26;Hawthorne;Australia
15590;35;Marshall;Wu;Marshall Wu;120000,00;Male;2019-11-24;Melbourne;Australia
15591;37;Darren;Srini;Darren Srini;120000,00;Male;2019-11-01;Seaford;Australia
15592;8;Janet;Moreno;Janet Moreno;70000,00;Female;2020-02-02;Matraville;Australia
15593;31;Naomi;Martin;Naomi Martin;70000,00;Female;2020-03-04;Hobart;Australia
15594;4;Joanna;Carlson;Joanna Carlson;80000,00;Female;2020-12-24;Goulburn;Australia
15595;7;Andre;Sanchez;Andre Sanchez;90000,00;Male;2019-10-28;Malabar;Australia
15596;17;Gilbert;Goel;Gilbert Goel;90000,00;Male;2019-11-24;St. Leonards;Australia
15597;38;Terry;Raji;Terry Raji;90000,00;Male;2019-11-18;South Melbourne;Australia
15598;16;Tanya;Rubio;Tanya Rubio;60000,00;Female;2020-09-19;Springwood;Australia
15599;26;Darryl;Ma;Darryl Ma;60000,00;Male;2020-04-19;Rockhampton;Australia
15600;32;Josue;Dominguez;Josue Dominguez;70000,00;Male;2019-10-30;Bendigo;Australia
15601;20;Naomi;Moreno;Naomi Moreno;70000,00;Female;2019-11-22;Brisbane;Australia
15602;37;Warren;Wu;Warren Wu;70000,00;Male;2020-06-22;Seaford;Australia
15603;13;Philip;Blanco;Philip Blanco;60000,00;Male;2020-03-31;Port Macquarie;Australia
15604;31;Clifford;Prasad;Clifford Prasad;60000,00;Male;2020-06-20;Hobart;Australia
15605;3;Alan;Yang;Alan Yang;60000,00;Male;2020-09-27;Darlinghurst;Australia
15606;33;Marco;Prasad;Marco Prasad;60000,00;Male;2020-02-27;Cranbourne;Australia
15607;20;Ricky;Gill;Ricky Gill;70000,00;Male;2020-11-16;Brisbane;Australia
15608;120;Faith;James;Faith James;30000,00;Female;2020-08-28;Hof;Germany
15609;222;Karl;Sharma;Karl Sharma;20000,00;Male;2020-08-15;Pantin;France
15610;273;Jessica;Gonzales;Jessica Gonzales;30000,00;Female;2020-09-18;Watford;United Kingdom
15611;215;Michele;Patel;Michele Patel;30000,00;Female;2020-06-14;Colombes;France
15612;259;Damien;Ma;Damien Ma;30000,00;Male;2020-05-08;Milton Keynes;United Kingdom
15613;221;Melinda;Moreno;Melinda Moreno;30000,00;Female;2020-05-23;Drancy;France
15614;262;Faith;Simmons;Faith Simmons;40000,00;Female;2018-10-13;Oxford;United Kingdom
15615;259;Erika;Alvarez;Erika Alvarez;30000,00;Female;2020-03-26;Milton Keynes;United Kingdom
15616;183;Janet;Alonso;Janet Alonso;30000,00;Female;2020-09-21;Orleans;France
15617;197;Dawn;Chande;Dawn Chande;30000,00;Female;2020-02-01;Paris;France
15618;162;Gabriel;Sharma;Gabriel Sharma;40000,00;Male;2020-04-01;Werne;Germany
15619;236;Levi;Subram;Levi Subram;40000,00;Male;2018-10-13;Cheltenham;United Kingdom
15620;256;Dominique;Subram;Dominique Subram;50000,00;Female;2018-10-05;London;United Kingdom
15621;268;Kelli;Wu;Kelli Wu;50000,00;Female;2018-10-07;Liverpool;United Kingdom
15622;144;Yvonne;Schleger;Yvonne Schleger;30000,00;Male;2019-01-14;Essen;Germany
15623;195;Molly;Madan;Molly Madan;40000,00;Female;2019-08-25;Paris;France
15624;217;Tyrone;Rubio;Tyrone Rubio;40000,00;Male;2019-08-17;Paris La Defense;France
15625;142;Clinton;Alvarez;Clinton Alvarez;40000,00;Male;2019-02-08;Bonn;Germany
15626;155;Eduardo;White;Eduardo White;40000,00;Male;2019-02-28;Bottrop;Germany
15627;146;Troy;Srini;Troy Srini;40000,00;Male;2019-02-17;Frankfurt am Main;Germany
15628;161;Brianna;Sandberg;Brianna Sandberg;40000,00;Female;2020-10-17;Solingen;Germany
15629;162;Meghan;Ruiz;Meghan Ruiz;10000,00;Female;2020-12-31;Werne;Germany
15630;260;Nichole;Tang;Nichole Tang;20000,00;Female;2018-10-24;Milton Keynes;United Kingdom
15631;263;Clayton;Andersen;Clayton Andersen;20000,00;Male;2018-10-24;Oxford;United Kingdom
15632;245;Gloria;Carlson;Gloria Carlson;20000,00;Female;2018-11-09;London;United Kingdom
15633;128;Ashlee;Shan;Ashlee Shan;20000,00;Female;2020-05-21;Dresden;Germany
15634;271;Dalton;Kelly;Dalton Kelly;30000,00;Male;2020-06-18;Warrington;United Kingdom
15635;261;Sheila;Martin;Sheila Martin;30000,00;Female;2020-05-13;Newcastle upon Tyne;United Kingdom
15636;127;David;White;David White;40000,00;Male;2020-06-11;Darmstadt;Germany
15637;179;Russell;Sharma;Russell Sharma;40000,00;Male;2019-08-04;Saint Ouen;France
15638;259;Rosa;He;Rosa He;30000,00;Female;2018-11-19;Milton Keynes;United Kingdom
15639;21;Melanie;Coleman;Melanie Coleman;10000,00;Female;2020-04-06;Caloundra;Australia
15640;21;Gary;Gomez;Gary Gomez;10000,00;Male;2020-01-28;Caloundra;Australia
15641;33;Marco;Sara;Marco Sara;10000,00;Male;2020-04-22;Cranbourne;Australia
15642;35;Cara;Gao;Cara Gao;10000,00;Female;2019-10-31;Melbourne;Australia
15643;14;Omar;Raji;Omar Raji;10000,00;Male;2019-10-30;Rhodes;Australia
15644;4;Savannah;Gonzalez;Savannah Gonzalez;10000,00;Female;2019-11-11;Goulburn;Australia
15645;10;Javier;Gill;Javier Gill;20000,00;Male;2019-11-02;Newcastle;Australia
15646;31;Emma;Kelly;Emma Kelly;10000,00;Female;2019-11-15;Hobart;Australia
15647;23;Dawn;He;Dawn He;20000,00;Female;2019-11-06;Gold Coast;Australia
15648;34;Edgar;Gonzalez;Edgar Gonzalez;20000,00;Male;2019-10-28;Geelong;Australia
15649;160;Melinda;Jimenez;Melinda Jimenez;30000,00;Female;2019-02-10;Paderborn;Germany
15650;208;Ronnie;Li;Ronnie Li;20000,00;Male;2020-12-14;Saint Germain en Laye;France
15651;212;Ann;Lopez;Ann Lopez;20000,00;Female;2019-08-13;Morangis;France
15652;229;Barbara;Wang;Barbara Wang;30000,00;Female;2018-11-17;Berks;United Kingdom
15653;254;Gerald;Madan;Gerald Madan;30000,00;Male;2018-11-09;London;United Kingdom
15654;200;Levi;Fernandez;Levi Fernandez;10000,00;Male;2020-06-10;Paris;France
15655;144;Deanna;Gomez;Deanna Gomez;20000,00;Female;2019-02-22;Essen;Germany
15656;178;Darryl;Zhao;Darryl Zhao;20000,00;Male;2019-02-10;Sulzbach Taunus;Germany
15657;271;Marcus;Hayes;Marcus Hayes;30000,00;Male;2018-11-05;Warrington;United Kingdom
15658;184;Victoria;Rogers;Victoria Rogers;10000,00;Female;2020-09-01;Metz;France
15659;127;Angela;Rivera;Angela Rivera;20000,00;Female;2019-02-16;Darmstadt;Germany
15660;250;April;Jai;April Jai;20000,00;Female;2018-12-17;London;United Kingdom
15661;269;Brandon;Robinson;Brandon Robinson;30000,00;Male;2018-12-06;Stoke-on-Trent;United Kingdom
15662;279;Megan;Richardson;Megan Richardson;30000,00;Female;2018-12-06;York;United Kingdom
15663;196;Mandy;Chen;Mandy Chen;30000,00;Female;2019-08-18;Paris;France
15664;172;Jill;Vazquez;Jill Vazquez;30000,00;Female;2019-02-01;Offenbach;Germany
15665;198;Kristi;Sai;Kristi Sai;30000,00;Female;2019-08-13;Paris;France
15666;205;Bianca;Liang;Bianca Liang;10000,00;Female;2019-08-20;Lieusaint;France
15667;151;Hector;Ramos;Hector Ramos;30000,00;Male;2019-01-29;Paderborn;Germany
15668;273;Erick;Fernandez;Erick Fernandez;40000,00;Male;2018-12-24;Watford;United Kingdom
15669;279;Paul;Suurs;Paul Suurs;40000,00;Female;2018-12-08;York;United Kingdom
15670;183;Sergio;Sánchez;Sergio Sánchez;20000,00;Male;2020-12-17;Orleans;France
15671;268;Lawrence;Torres;Lawrence Torres;20000,00;Male;2020-02-28;Liverpool;United Kingdom
15672;160;Kelvin;Nara;Kelvin Nara;20000,00;Male;2020-12-24;Paderborn;Germany
15673;209;Jon;Goel;Jon Goel;20000,00;Male;2020-04-10;Versailles;France
15674;117;Tommy;Raheem;Tommy Raheem;30000,00;Male;2019-03-13;Erlangen;Germany
15675;120;Jay;Alonso;Jay Alonso;40000,00;Male;2019-03-09;Hof;Germany
15676;224;Todd;Wang;Todd Wang;40000,00;Male;2019-08-24;Tremblay-en-France;France
15677;220;Alyssa;Bradley;Alyssa Bradley;40000,00;Female;2019-09-27;Bobigny;France
15678;212;Susan;Zhou;Susan Zhou;40000,00;Female;2019-09-08;Morangis;France
15679;189;Robert;Patterson;Robert Patterson;10000,00;Male;2020-05-11;Roubaix;France
15680;171;Tasha;She;Tasha She;10000,00;Female;2020-07-05;Neunkirchen;Germany
15681;262;Emma;Gonzales;Emma Gonzales;80000,00;Female;2020-02-01;Oxford;United Kingdom
15682;142;Heidi;Garcia;Heidi Garcia;80000,00;Female;2021-01-11;Bonn;Germany
15683;156;Jessie;Carlson;Jessie Carlson;90000,00;Female;2020-03-13;Braunschweig;Germany
15684;168;Tyrone;Suarez;Tyrone Suarez;90000,00;Male;2019-03-09;Kiel;Germany
15685;172;Robin;Vazquez;Robin Vazquez;110000,00;Female;2019-03-25;Offenbach;Germany
15686;244;Pedro;Vazquez;Pedro Vazquez;130000,00;Male;2020-02-26;London;United Kingdom
15687;211;Jay;Suri;Jay Suri;70000,00;Male;2019-09-14;Les Ulis;France
15688;196;Chase;Gray;Chase Gray;70000,00;Male;2019-09-08;Paris;France
15689;158;Stacey;Wang;Stacey Wang;90000,00;Female;2020-05-04;Leipzig;Germany
15690;267;Clifford;Perez;Clifford Perez;160000,00;Male;2020-10-21;Runcorn;United Kingdom
15691;273;Julian;Henderson;Julian Henderson;90000,00;Male;2018-12-27;Watford;United Kingdom
15692;262;Ryan;Garcia;Ryan Garcia;90000,00;Male;2018-11-30;Oxford;United Kingdom
15693;127;Isabel;Barnes;Isabel Barnes;90000,00;Female;2019-03-28;Darmstadt;Germany
15694;236;Stephanie;Diaz;Stephanie Diaz;80000,00;Female;2020-09-15;Cheltenham;United Kingdom
15695;261;Bruce;Gomez;Bruce Gomez;150000,00;Male;2018-11-29;Newcastle upon Tyne;United Kingdom
15696;222;Damien;Sun;Damien Sun;100000,00;Male;2020-06-27;Pantin;France
15697;121;Julia;Morris;Julia Morris;110000,00;Female;2019-03-16;Ingolstadt;Germany
15698;162;Susan;Wang;Susan Wang;120000,00;Female;2020-11-11;Werne;Germany
15699;276;Jonathon;Hernandez;Jonathon Hernandez;170000,00;Male;2019-01-05;Woolston;United Kingdom
15700;193;Eugene;Guo;Eugene Guo;80000,00;Male;2019-09-27;Paris;France
15701;236;Jillian;Kapoor;Jillian Kapoor;130000,00;Female;2020-03-29;Cheltenham;United Kingdom
15702;240;Ruth;Mehta;Ruth Mehta;130000,00;Female;2019-01-09;High Wycombe;United Kingdom
15703;142;Alison;Chande;Alison Chande;80000,00;Female;2020-01-28;Bonn;Germany
15704;134;Peter;Luo;Peter Luo;90000,00;Male;2020-08-19;München;Germany
15705;117;Gabriel;Simmons;Gabriel Simmons;100000,00;Male;2020-05-20;Erlangen;Germany
15706;210;Tina;Arthur;Tina Arthur;90000,00;Female;2020-03-12;Saint Ouen;France
15707;121;Robin;Rubio;Robin Rubio;120000,00;Female;2020-09-12;Ingolstadt;Germany
15708;150;Nina;Jai;Nina Jai;120000,00;Female;2020-02-23;München;Germany
15709;215;Chelsea;Prasad;Chelsea Prasad;70000,00;Female;2020-03-24;Colombes;France
15710;190;Brandy;Rana;Brandy Rana;90000,00;Female;2019-09-02;Villeneuve-d'Ascq;France
15711;235;Jeffery;Liang;Jeffery Liang;110000,00;Male;2020-05-21;Cambridge;United Kingdom
15712;249;Whitney;Chandra;Whitney Chandra;130000,00;Female;2020-07-11;London;United Kingdom
15713;267;Hannah;Lee;Hannah Lee;130000,00;Female;2020-11-08;Runcorn;United Kingdom
15714;214;Bethany;Pal;Bethany Pal;80000,00;Female;2020-10-09;Boulogne-Billancourt;France
15715;27;Isabella;Adams;Isabella Adams;60000,00;Female;2020-07-29;Townsville;Australia
15716;24;Roy;Madan;Roy Madan;70000,00;Male;2019-11-19;Hawthorne;Australia
15717;18;Alexia;Henderson;Alexia Henderson;70000,00;Female;2019-11-11;Sydney;Australia
15718;3;Heather;Lin;Heather Lin;70000,00;Female;2020-09-16;Darlinghurst;Australia
15719;15;Lacey;Liang;Lacey Liang;80000,00;Female;2019-11-23;Silverwater;Australia
15720;7;Jaime;Ramos;Jaime Ramos;70000,00;Female;2020-02-10;Malabar;Australia
15721;40;Cara;Guo;Cara Guo;80000,00;Female;2020-06-17;Warrnambool;Australia
15722;32;Angela;Jenkins;Angela Jenkins;80000,00;Female;2019-11-18;Bendigo;Australia
15723;11;Kate;Deng;Kate Deng;90000,00;Female;2019-11-08;North Ryde;Australia
15724;21;Roger;She;Roger She;90000,00;Male;2019-11-04;Caloundra;Australia
15725;19;Trevor;Price;Trevor Price;90000,00;Male;2019-11-21;Wollongong;Australia
15726;25;Faith;Barnes;Faith Barnes;90000,00;Female;2019-11-07;Hervey Bay;Australia
